state,district_name,district_lgd_code,fiscal_year,amount_spent
Andhra Pradesh,Alluri Sitharama Raju,745,2022-23,0.06
Andhra Pradesh,Anakapalli,744,2022-23,0.0
Andhra Pradesh,Anakapalli,744,2023-24,1.31
Andhra Pradesh,Ananthapuramu,502,2014-15,19.39
Andhra Pradesh,Ananthapuramu,502,2015-16,6.02
Andhra Pradesh,Ananthapuramu,502,2016-17,4.23
Andhra Pradesh,Ananthapuramu,502,2017-18,1.8699999999999999
Andhra Pradesh,Ananthapuramu,502,2018-19,1.6300000000000001
Andhra Pradesh,Ananthapuramu,502,2019-20,10.44
Andhra Pradesh,Ananthapuramu,502,2020-21,7.72
Andhra Pradesh,Ananthapuramu,502,2021-22,21.79
Andhra Pradesh,Ananthapuramu,502,2022-23,53.72
Andhra Pradesh,Ananthapuramu,502,2023-24,32.95
Andhra Pradesh,Annamayya,753,2022-23,0.2
Andhra Pradesh,Annamayya,753,2023-24,0.8
Andhra Pradesh,Bapatla,750,2023-24,0.24
Andhra Pradesh,Chittoor,503,2014-15,7.47
Andhra Pradesh,Chittoor,503,2015-16,8.74
Andhra Pradesh,Chittoor,503,2016-17,1.22
Andhra Pradesh,Chittoor,503,2017-18,5.640000000000001
Andhra Pradesh,Chittoor,503,2018-19,26.230000000000004
Andhra Pradesh,Chittoor,503,2019-20,29.74
Andhra Pradesh,Chittoor,503,2020-21,18.96
Andhra Pradesh,Chittoor,503,2021-22,64.85
Andhra Pradesh,Chittoor,503,2022-23,165.98
Andhra Pradesh,Chittoor,503,2023-24,225.92
Andhra Pradesh,Dr. B.R. Ambedkar Konaseema,747,2023-24,0.1
Andhra Pradesh,East Godavari,505,2014-15,2.45
Andhra Pradesh,East Godavari,505,2015-16,2.03
Andhra Pradesh,East Godavari,505,2016-17,0.9500000000000001
Andhra Pradesh,East Godavari,505,2017-18,0.64
Andhra Pradesh,East Godavari,505,2018-19,2.91
Andhra Pradesh,East Godavari,505,2019-20,10.79
Andhra Pradesh,East Godavari,505,2020-21,24.680000000000003
Andhra Pradesh,East Godavari,505,2021-22,23.509999999999998
Andhra Pradesh,East Godavari,505,2022-23,152.28
Andhra Pradesh,East Godavari,505,2023-24,236.82999999999998
Andhra Pradesh,Guntur,506,2014-15,6.33
Andhra Pradesh,Guntur,506,2015-16,8.120000000000001
Andhra Pradesh,Guntur,506,2016-17,6.0600000000000005
Andhra Pradesh,Guntur,506,2017-18,10.34
Andhra Pradesh,Guntur,506,2018-19,19.36
Andhra Pradesh,Guntur,506,2019-20,18.44
Andhra Pradesh,Guntur,506,2020-21,13.34
Andhra Pradesh,Guntur,506,2021-22,249.39
Andhra Pradesh,Guntur,506,2022-23,69.89
Andhra Pradesh,Guntur,506,2023-24,36.85
Andhra Pradesh,Hyderabad,507,2020-21,0.01
Andhra Pradesh,Kakinada,746,2022-23,0.06
Andhra Pradesh,Kakinada,746,2023-24,0.11
Andhra Pradesh,Krishna,510,2014-15,8.65
Andhra Pradesh,Krishna,510,2015-16,10.68
Andhra Pradesh,Krishna,510,2016-17,7.26
Andhra Pradesh,Krishna,510,2017-18,9.11
Andhra Pradesh,Krishna,510,2018-19,7.87
Andhra Pradesh,Krishna,510,2019-20,11.26
Andhra Pradesh,Krishna,510,2020-21,19.919999999999998
Andhra Pradesh,Krishna,510,2021-22,45.089999999999996
Andhra Pradesh,Krishna,510,2022-23,42.23
Andhra Pradesh,Krishna,510,2023-24,36.36
Andhra Pradesh,Kurnool,511,2014-15,4.19
Andhra Pradesh,Kurnool,511,2015-16,5.37
Andhra Pradesh,Kurnool,511,2016-17,6.3500000000000005
